Term/Year Code|College|Dept|Degree|Major Code|Major Name|Conc code|Concentration Name (if any)|Fresh- man|Sopho- more|Junior|Senior|Non- degree Ugrad|Total Under grad|Full-Time Ugrad|Part-Time Ugrad|Grad 1 (master)|Grad 2 (doctoral)|Non- degree Grad|Total Grad|Full-Time Grad|Part-Time Grad|Profes-sional|Full-Time Professional|Part-Time Professional|Total|Full-Time Total|Part-Time Total|Academic Program Code
120241 |Agricultural, Consumer & Environmental Sciences |306 |BS |5895 |Metropolitan Food & Enviro Sys |  |  |0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0|10KL5895BS
120241 |Agricultural, Consumer & Environmental Sciences |306 |BS |6147 |SustainabilityinFood&EnviroSys |  |  |0|4|5|1|0|10|10|0|0|0|0|0|0|0|0|0|0|10|10|0|10KL6147BS
120241 |Agricultural, Consumer & Environmental Sciences |306 |MS |5599 |Bioprocessing and Bioenergy |5166 |Professional Science Masters |0|0|0|0|0|0|0|0|3|0|0|3|3|0|0|0|0|3|3|0|1PKS5599MS
120241 |Agricultural, Consumer & Environmental Sciences |342 |BS |5740 |Ag Ldrship, Ed & Communication |5736 |Agricultural Education |2|4|4|16|0|26|25|1|0|0|0|0|0|0|0|0|0|26|25|1|10KL5736BS
120241 |Agricultural, Consumer & Environmental Sciences |342 |BS |5740 |Ag Ldrship, Ed & Communication |5737 |Org & Community Leadership |2|6|16|18|0|42|39|3|0|0|0|0|0|0|0|0|0|42|39|3|10KL5737BS
120241 |Agricultural, Consumer & Environmental Sciences |342 |BS |5740 |Ag Ldrship, Ed & Communication |5738 |Ag Communications-Advertising |0|0|0|4|0|4|4|0|0|0|0|0|0|0|0|0|0|4|4|0|10KL5738BS
120241 |Agricultural, Consumer & Environmental Sciences |342 |BS |5740 |Ag Ldrship, Ed & Communication |5739 |Ag Communications-Journalism |0|0|0|2|0|2|2|0|0|0|0|0|0|0|0|0|0|2|2|0|10KL5739BS
120241 |Agricultural, Consumer & Environmental Sciences |342 |BS |5740 |Ag Ldrship, Ed & Communication |6080 |Agricultural Communications |9|5|7|13|0|34|33|1|0|0|0|0|0|0|0|0|0|34|33|1|10KL6080BS
120241 |Agricultural, Consumer & Environmental Sciences |342 |MS |5740 |Ag Ldrship, Ed & Communication |  |  |0|0|0|0|0|0|0|0|10|0|0|10|10|0|0|0|0|10|10|0|10KS5740MS
120241 |Agricultural, Consumer & Environmental Sciences |342 |MS |5740 |Ag Ldrship, Ed & Communication |  |  |0|0|0|0|0|0|0|0|16|0|0|16|5|11|0|0|0|16|5|11|10KS5740MSU
120241 |Agricultural, Consumer & Environmental Sciences |342 |NDEG |5740 |Ag Ldrship, Ed & Communication |  |  |0|0|0|0|0|0|0|0|0|0|3|3|0|3|0|0|0|3|0|3|10KS5740NDEU
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5003 |Agri-Accounting |8|10|13|28|0|59|58|1|0|0|0|0|0|0|0|0|0|59|58|1|10KL5003BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5005 |Farm Management |1|2|4|8|0|15|15|0|0|0|0|0|0|0|0|0|0|15|15|0|10KL5005BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5006 |Agribusiness Markets & Mgmt |13|28|33|50|0|124|120|4|0|0|0|0|0|0|0|0|0|124|120|4|10KL5006BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5006 |Agribusiness Markets & Mgmt |0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0|10KL8037BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5007 |Consumer Economics & Finance |8|27|65|74|0|174|169|5|0|0|0|0|0|0|0|0|0|174|169|5|10KL5007BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5008 |Envirnmntal Economics & Policy |6|17|11|15|0|49|48|1|0|0|0|0|0|0|0|0|0|49|48|1|10KL5008BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5010 |Policy, Intl Trade, & Dvlpmt |6|2|3|9|0|20|20|0|0|0|0|0|0|0|0|0|0|20|20|0|10KL5010BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5011 |Public Policy and Law |16|12|11|21|0|60|60|0|0|0|0|0|0|0|0|0|0|60|60|0|10KL5011BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5136 |Financial Planning |20|40|42|66|0|168|163|5|0|0|0|0|0|0|0|0|0|168|163|5|10KL5136BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |BS |0176 |Agr & Consumer Economics |5316 |Finance in Agri-Business |8|8|15|25|0|56|56|0|0|0|0|0|0|0|0|0|0|56|56|0|10KL5316BS
120241 |Agricultural, Consumer & Environmental Sciences |470 |MAAE |5870 |Agricultural & Applied Econ |  |  |0|0|0|0|0|0|0|0|2|0|0|2|2|0|0|0|0|2|2|0|1PKS5870MAAE
120241 |Agricultural, Consumer & Environmental Sciences |470 |MAAE |5870 |Agricultural & Applied Econ |5869 |BS ACE/MAAE AAE |0|0|0|0|0|0|0|0|4|0|0|4|4|0|0|0|0|4|4|0|1PKS5869MAAE
120241 |Agricultural, Consumer & Environmental Sciences |470 |MS |5273 |Agricultural & Applied Econ |  |  |0|0|0|0|0|0|0|0|10|0|0|10|9|1|0|0|0|10|9|1|10KS5273MS
120241 |Agricultural, Consumer & Environmental Sciences |470 |PHD |5273 |Agricultural & Applied Econ |  |  |0|0|0|0|0|0|0|0|0|55|0|55|54|1|0|0|0|55|54|1|10KS5273PHD
120241 |Agricultural, Consumer & Environmental Sciences |483 |NDEG |0067 |Nondegree |  |  |0|0|0|0|78|78|12|66|0|0|0|0|0|0|0|0|0|78|12|66|10KL0067NDEG
120241 |Agricultural, Consumer & Environmental Sciences |483 |NONE |5621 |ACES Undeclared |  |  |44|28|13|1|0|86|85|1|0|0|0|0|0|0|0|0|0|86|85|1|10KL5621NONE
120241 |Agricultural, Consumer & Environmental Sciences |538 |BS |0002 |Animal Sciences |5268 |Companion Animal & Equine Sci |9|14|22|49|0|94|91|3|0|0|0|0|0|0|0|0|0|94|91|3|10KL0002BS
120241 |Agricultural, Consumer & Environmental Sciences |538 |BS |0002 |Animal Sciences |5269 |Science, Pre-Vet Med and Med |70|109|91|134|0|404|399|5|0|0|0|0|0|0|0|0|0|404|399|5|10KL0002BS
120241 |Agricultural, Consumer & Environmental Sciences |538 |BS |0002 |Animal Sciences |5588 |Food Animal Prod & Mgmt |1|4|4|20|0|29|28|1|0|0|0|0|0|0|0|0|0|29|28|1|10KL0002BS
120241 |Agricultural, Consumer & Environmental Sciences |538 |BS |5864 |Computer Sci & Animal Sci |  |  |0|2|2|2|0|6|6|0|0|0|0|0|0|0|0|0|0|6|6|0|10KL5864BS
120241 |Agricultural, Consumer & Environmental Sciences |538 |MANSC |0002 |Animal Sciences |  |  |0|0|0|0|0|0|0|0|13|0|0|13|11|2|0|0|0|13|11|2|1PKS0002MANS
120241 |Agricultural, Consumer & Environmental Sciences |538 |MANSC |0002 |Animal Sciences |  |  |0|0|0|0|0|0|0|0|9|0|0|9|4|5|0|0|0|9|4|5|1PKS0002MANU
120241 |Agricultural, Consumer & Environmental Sciences |538 |MS |0002 |Animal Sciences |  |  |0|0|0|0|0|0|0|0|22|0|0|22|21|1|0|0|0|22|21|1|10KS0002MS
120241 |Agricultural, Consumer & Environmental Sciences |538 |MS |4026 |Bioinformatics |5099 |Animal Science |0|0|0|0|0|0|0|0|5|0|0|5|4|1|0|0|0|5|4|1|10KS5099MS
120241 |Agricultural, Consumer & Environmental Sciences |538 |NDEG |0002 |Animal Sciences |  |  |0|0|0|0|0|0|0|0|0|0|28|28|0|28|0|0|0|28|0|28|1PKS0002NDEU
120241 |Agricultural, Consumer & Environmental Sciences |538 |PHD |0002 |Animal Sciences |  |  |0|0|0|0|0|0|0|0|0|42|0|42|42|0|0|0|0|42|42|0|10KS0002PHD
120241 |Agricultural, Consumer & Environmental Sciences |698 |BS |0037 |Food Science & Human Nutrition |0038 |Food Science |0|7|8|42|0|57|54|3|0|0|0|0|0|0|0|0|0|57|54|3|10KL0038BS
